City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Santa Rosa,PH,77.0,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
16,San Patricio,US,75.2,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
26,Labuhan,ID,79.02,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
41,Biak,ID,77.13,overcast clouds,-0.9131,122.8766,Penginapan Kim
42,Isangel,VU,78.8,few clouds,-19.55,169.2667,Volcano Sea View Tree House
47,Bonthe,SL,79.74,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
48,Mananara,MG,76.78,light rain,-16.1667,49.7667,Chez Roger
50,Bengkulu,ID,75.51,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
60,Katobu,ID,75.4,overcast clouds,-4.9408,122.5276,La Ode Husein
65,Coihaique,CL,78.8,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
81,Banda Aceh,ID,78.84,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
93,Barranca,PE,75.94,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
97,Yeppoon,AU,78.8,overcast clouds,-23.1333,150.7333,Villa Mar Colina
99,Port-Gentil,GA,78.8,light rain,-0.7193,8.7815,Fengshui Residence
101,Kahului,US,77.0,few clouds,20.8947,-156.47,Maui Seaside Hotel
104,Kanniyakumari,IN,77.05,clear sky,8.0833,77.5667,Sparsa
113,Miri,MY,78.8,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
121,San Policarpo,PH,79.97,overcast clouds,12.1791,125.5072,JM Lodge
132,Abasolo,MX,78.8,clear sky,20.45,-101.5167,Hotel Balneario Parque Acuático la Caldera
141,Pedro Ii,BR,79.5,scattered clouds,-4.4247,-41.4586,Opala Hotel Pedro II
142,Buin,CL,78.8,clear sky,-33.7333,-70.75,Paihuen
146,Pundaguitan,PH,79.41,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
149,Ipixuna,BR,78.8,scattered clouds,-1.7625,-48.8043,Casa da Oscarina
154,Ahuimanu,US,78.8,few clouds,21.4447,-157.8378,Paradise Bay Resort
160,Mayumba,GA,78.87,light rain,-3.432,10.6554,LIKWALE LODGE
163,Beloha,MG,75.54,few clouds,-25.1667,45.05,RedDoorz Syariah near Taman Berlabuh Tarakan
172,Padang,ID,75.2,moderate rain,-0.9492,100.3543,Mercure Padang
176,Francisco Beltrao,BR,75.9,clear sky,-26.0811,-53.055,Cristal Palace Hotel
177,Sinnamary,GF,78.37,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
196,Luwuk,ID,78.33,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
198,Port Keats,AU,79.11,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
200,Grand Gaube,MU,79.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
219,San Isidro,PE,77.0,broken clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
222,Calama,CL,75.2,clear sky,-22.4667,-68.9333,Park Hotel Calama
248,Ampanihy,MG,75.54,clear sky,-24.7,44.75,Angora Hotel
249,Isabela,PH,75.2,broken clouds,6.7085,121.9711,Isawad Resort
269,Chake Chake,TZ,79.02,overcast clouds,-5.2459,39.7666,Hotel Archipelago
280,Valle Nacional,MX,78.31,overcast clouds,17.7833,-96.3167,Cabaña San Mateo Yetla
285,Maumere,ID,79.38,overcast clouds,-8.6199,122.2111,Sylvia Hotel
297,Mana,GF,78.22,overcast clouds,5.6592,-53.7767,LE SAMANA
298,Dunmore Town,BS,75.25,clear sky,25.5,-76.65,Coral Sands Hotel
299,Manacapuru,BR,78.8,light rain,-3.2997,-60.6206,Novo Hotel
311,Poum,NC,79.43,broken clouds,-20.2333,164.0167,Gîte kajeon
314,Quelimane,MZ,77.14,overcast clouds,-17.8786,36.8883,Hotel Flamingo
317,Impfondo,CG,77.32,overcast clouds,1.6381,18.0667,Préfecture de la Likouala
324,Kununurra,AU,78.8,overcast clouds,-15.7667,128.7333,Hotel Kununurra
329,Srandakan,ID,76.26,overcast clouds,-7.9386,110.2506,Puri Brata
341,Gamboma,CG,76.98,light rain,-1.8764,15.8644,Residence N'Keni
343,Gold Coast,AU,77.0,overcast clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
345,Matamoros,MX,77.0,broken clouds,25.5333,-103.25,Quinta Belem
355,Tarata,BO,78.8,broken clouds,-17.6167,-66.0167,Alojamiento IV Centenario
356,Bosaso,SO,75.18,few clouds,11.2842,49.1816,Red Sea Hotel
359,Cap Malheureux,MU,79.0,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
363,Vanimo,PG,77.14,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
373,Coruripe,BR,79.34,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
378,Alice Town,BS,76.59,scattered clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
391,Nosy Varika,MG,79.84,overcast clouds,-20.5833,48.5333,Hotel Volazara
397,Uthai Thani,TH,77.0,clear sky,15.3833,99.55,ดนัย​ สารสุ​ว​รรณ์​
405,Karratha,AU,77.72,clear sky,-20.7377,116.8463,ibis Styles Karratha
412,Port Blair,IN,77.7,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
414,Grand-Santi,GF,76.41,light rain,4.25,-54.3833,Hotel La Villa Couacou
429,Pisco,PE,77.0,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
440,Hambantota,LK,77.02,clear sky,6.1241,81.1185,Bungalow 63
442,Bara,NG,76.05,broken clouds,10.3744,10.7288,RedDoorz Syariah near Taman Berlabuh Tarakan
445,Noumea,NC,79.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
457,Guerrero Negro,MX,77.02,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
