City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bredasdorp,ZA,-34.5322,20.0403,59.0,77,8,5.75,clear sky
1,Ushuaia,AR,-54.8,-68.3,51.8,82,75,10.36,broken clouds
2,Nebbi,UG,2.4783,31.0889,69.67,27,100,4.74,overcast clouds
3,Sisimiut,GL,66.9395,-53.6735,24.67,79,2,17.05,clear sky
4,Emba,KZ,48.8264,58.1442,-5.13,90,30,12.53,scattered clouds
5,Yellowknife,CA,62.456,-114.3525,-32.8,68,40,8.05,scattered clouds
6,Mataura,NZ,-46.1927,168.8643,73.42,42,100,3.15,overcast clouds
7,Vaini,TO,-21.2,-175.2,77.0,94,90,16.11,moderate rain
8,Merauke,ID,-8.4667,140.3333,84.88,73,43,11.79,scattered clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,77.0,96,100,1.99,light rain
10,Cidreira,BR,-30.1811,-50.2056,70.66,72,0,7.4,clear sky
11,Mount Gambier,AU,-37.8333,140.7667,62.6,59,90,18.41,overcast clouds
12,Ekhabi,RU,53.5102,142.9671,19.56,97,100,21.27,snow
13,New Norfolk,AU,-42.7826,147.0587,62.01,67,100,1.99,overcast clouds
14,Gerash,IR,27.6652,54.1371,55.4,71,0,0.43,clear sky
15,Baghdad,IQ,33.3406,44.4009,53.6,94,0,2.3,clear sky
16,Qaanaaq,GL,77.484,-69.3632,15.8,85,100,6.4,overcast clouds
17,Port Alfred,ZA,-33.5906,26.891,64.99,95,90,1.99,overcast clouds
18,Bluff,NZ,-46.6,168.3333,63.75,62,100,7.05,overcast clouds
19,Nikolskoye,RU,59.7035,30.7861,17.6,86,90,11.18,overcast clouds
20,Iqaluit,CA,63.7506,-68.5145,30.2,74,90,16.11,light snow
21,Basco,PH,20.4487,121.9702,73.85,83,100,25.01,overcast clouds
22,Chepareria,KE,1.3077,35.2039,60.98,75,100,4.14,overcast clouds
23,Hilo,US,19.7297,-155.09,80.6,54,20,12.66,few clouds
24,Beloha,MG,-25.1667,45.05,74.43,97,23,4.68,few clouds
25,Kavieng,PG,-2.5744,150.7967,85.1,70,8,7.2,clear sky
26,Mar Del Plata,AR,-38.0023,-57.5575,62.01,94,90,18.41,drizzle
27,Evensk,RU,61.95,159.2333,13.28,93,100,43.33,light snow
28,Portland,US,45.5234,-122.6762,48.2,57,75,11.5,broken clouds
29,Sawtell,AU,-30.3833,153.1,78.8,61,40,17.27,scattered clouds
30,Saint George,US,37.1041,-113.5841,62.6,14,1,4.61,clear sky
31,Butaritari,KI,3.0707,172.7902,80.94,80,18,18.84,few clouds
32,Hithadhoo,MV,-0.6,73.0833,81.61,72,0,8.16,clear sky
33,San Quintin,MX,30.4833,-115.95,61.54,66,0,8.75,clear sky
34,Saint-Pierre,RE,-21.3393,55.4781,80.6,61,90,9.22,overcast clouds
35,Muros,ES,42.7762,-9.0603,54.0,83,1,3.0,clear sky
36,Bambous Virieux,MU,-20.3428,57.7575,78.8,83,40,6.91,light rain
37,Clearlake,US,38.9582,-122.6264,71.01,38,100,1.01,overcast clouds
38,Martapura,ID,-3.4167,114.85,78.8,94,40,2.3,scattered clouds
39,Jaisalmer,IN,26.9147,70.9181,57.24,33,0,3.53,clear sky
40,Berbera,SO,10.4396,45.0143,73.71,72,1,4.23,clear sky
41,Hofn,IS,64.2539,-15.2082,36.61,88,100,16.93,overcast clouds
42,Castro,BR,-24.7911,-50.0119,58.23,67,0,7.05,clear sky
43,Tuatapere,NZ,-46.1333,167.6833,68.49,56,100,6.29,overcast clouds
44,Kushima,JP,31.4583,131.2333,51.8,62,40,13.8,scattered clouds
45,Abu Samrah,SY,35.3029,37.1841,49.51,89,0,6.46,clear sky
46,Jambi,ID,-1.6,103.6167,78.24,83,99,4.85,overcast clouds
47,Bangkal,PH,6.0667,121.0667,82.18,78,100,3.8,overcast clouds
48,Kibala,TD,9.1104,18.3463,71.6,26,0,3.98,clear sky
49,Jamestown,US,42.097,-79.2353,12.99,72,90,12.66,light snow
50,Hamilton,US,39.1834,-84.5333,19.4,42,20,6.91,few clouds
51,Honningsvag,NO,70.9821,25.9704,25.95,92,100,23.69,light snow
52,Bardiyah,LY,31.7561,25.0865,63.95,48,100,19.35,overcast clouds
53,Cape Town,ZA,-33.9258,18.4232,68.0,72,0,14.97,clear sky
54,Shimoda,JP,34.6667,138.95,51.8,58,20,18.41,few clouds
55,Tecoanapa,MX,16.5167,-98.75,78.66,75,0,7.74,clear sky
56,Lefka,CY,35.1106,32.8506,55.4,88,40,5.75,scattered clouds
57,Honiara,SB,-9.4333,159.95,86.63,67,0,9.26,clear sky
58,Sayat,TM,38.7839,63.8803,41.0,93,100,2.3,mist
59,Albany,US,42.6001,-73.9662,27.0,58,82,3.0,broken clouds
60,Mazatlan,MX,23.2167,-106.4167,77.0,31,20,8.05,few clouds
61,Dunedin,NZ,-45.8742,170.5036,61.0,88,92,1.01,overcast clouds
62,Manoel Urbano,BR,-8.8389,-69.2597,75.47,95,100,2.35,overcast clouds
63,Esperance,AU,-33.8667,121.9,73.4,60,40,17.27,scattered clouds
64,Mogzon,RU,51.7435,111.9606,-0.08,90,0,3.65,clear sky
65,Garoua Boulai,CM,5.8833,14.55,60.15,36,89,2.86,overcast clouds
66,Coihaique,CL,-45.5752,-72.0662,71.6,35,0,6.91,clear sky
67,Barrow,US,71.2906,-156.7887,-25.6,68,1,13.8,clear sky
68,Thompson,CA,55.7435,-97.8558,-25.6,62,40,16.11,snow
69,Saint-Philippe,RE,-21.3585,55.7679,80.6,61,90,9.22,light rain
70,Richards Bay,ZA,-28.783,32.0377,74.52,92,100,5.26,overcast clouds
71,Dalian,CN,38.9122,121.6022,28.4,74,75,6.71,broken clouds
72,Clyde River,CA,70.4692,-68.5914,1.4,92,1,2.3,light snow
73,Rikitea,PF,-23.1203,-134.9692,77.63,71,47,12.5,scattered clouds
74,Kavaratti,IN,10.5669,72.642,81.09,72,100,8.9,overcast clouds
75,Sarakhs,IR,36.5449,61.1577,46.4,71,100,2.3,overcast clouds
76,Oistins,BB,13.0667,-59.5333,78.8,65,20,16.11,few clouds
77,Sur,OM,22.5667,59.5289,63.18,72,0,3.67,clear sky
78,Zhigansk,RU,66.7697,123.3711,-30.05,78,0,4.74,clear sky
79,Chuy,UY,-33.6971,-53.4616,65.89,77,19,7.34,few clouds
80,Norman Wells,CA,65.282,-126.8329,-27.4,75,20,3.44,few clouds
81,Hobart,AU,-42.8794,147.3294,62.6,51,75,16.11,broken clouds
82,Bonavista,CA,48.6499,-53.1147,30.0,74,3,18.41,clear sky
83,Sitka,US,57.0531,-135.33,35.6,30,40,4.61,scattered clouds
84,Bathsheba,BB,13.2167,-59.5167,78.8,65,20,16.11,few clouds
85,Punta Arenas,CL,-53.15,-70.9167,66.2,34,90,6.91,overcast clouds
86,Hay River,CA,60.8156,-115.7999,-31.0,61,100,4.61,overcast clouds
87,Busselton,AU,-33.65,115.3333,66.0,99,37,1.99,scattered clouds
88,Nautla,MX,20.2167,-96.7833,72.63,77,90,5.03,overcast clouds
89,Geraldton,AU,-28.7667,114.6,73.4,73,40,13.8,scattered clouds
90,Faya,SA,18.3851,42.4509,53.6,47,0,6.91,clear sky
91,Vidim,RU,56.4088,103.1106,11.03,95,91,6.55,overcast clouds
