City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Aljezur,37.3191,-8.8033,51.01,100,98,4,PT,2021-02-06 20:08
1,Hobart,-42.8794,147.3294,60.01,72,75,3.44,AU,2021-02-06 20:08
2,Avarua,-21.2078,-159.775,84.2,74,45,8.05,CK,2021-02-06 20:08
3,Saint-Michel-Des-Saints,46.6834,-73.9159,19.69,92,100,12.15,CA,2021-02-06 20:04
4,Mataura,-46.1927,168.8643,58.28,76,0,2.08,NZ,2021-02-06 20:08
5,Atuona,-9.8,-139.0333,80.13,78,100,23.31,PF,2021-02-06 20:08
6,Nelson Bay,-32.7167,152.15,69.8,100,90,10.36,AU,2021-02-06 20:07
7,Viedma,-40.8135,-62.9967,77,46,0,18.9,AR,2021-02-06 20:08
8,Rikitea,-23.1203,-134.9692,77.85,73,100,11.72,PF,2021-02-06 20:08
9,New Norfolk,-42.7826,147.0587,60.01,69,99,1.99,AU,2021-02-06 20:08
10,Punta Arenas,-53.15,-70.9167,53.6,50,20,10.36,CL,2021-02-06 20:08
11,Dutse,11.7594,9.3392,72.7,21,100,7.47,NG,2021-02-06 20:08
12,Pouebo,-20.4,164.5667,76.28,77,2,2.53,NC,2021-02-06 20:08
13,Sorland,67.667,12.6934,34.86,82,72,25.03,NO,2021-02-06 20:08
14,Mar Del Plata,-38.0023,-57.5575,68,68,20,17.27,AR,2021-02-06 20:08
15,Yellowknife,62.456,-114.3525,-38,67,1,3.44,CA,2021-02-06 20:08
16,Blue Springs,39.0169,-94.2816,23,93,90,14.97,US,2021-02-06 20:06
17,Saldanha,-33.0117,17.9442,68,77,39,12.66,ZA,2021-02-06 20:08
18,Hermanus,-34.4187,19.2345,68,88,96,6.82,ZA,2021-02-06 20:08
19,Amudat,1.95,34.95,73.78,43,9,8.5,UG,2021-02-06 20:08
20,Notse,6.95,1.1667,84.88,65,22,10.83,TG,2021-02-06 20:08
21,Taltal,-25.4,-70.4833,69.64,58,22,5.59,CL,2021-02-06 20:08
22,Amapa,1,-52,79.72,89,96,3.29,BR,2021-02-06 20:08
23,Qaanaaq,77.484,-69.3632,12.31,87,100,9.64,GL,2021-02-06 20:08
24,Bratsk,56.1325,101.6142,10.4,85,100,4.47,RU,2021-02-06 20:08
25,Henties Bay,-22.116,14.2845,64.99,88,10,3,NA,2021-02-06 20:08
26,Vaini,-21.2,-175.2,80.6,78,75,8.05,TO,2021-02-06 20:08
27,Barrow,71.2906,-156.7887,-2.2,78,90,11.5,US,2021-02-06 20:08
28,Richards Bay,-28.783,32.0377,73.9,84,91,5.91,ZA,2021-02-06 20:08
29,Souillac,-20.5167,57.5167,78.8,83,20,3.44,MU,2021-02-06 20:08
30,Port Elizabeth,-33.918,25.5701,68,88,40,14.97,ZA,2021-02-06 20:08
31,Cabo San Lucas,22.8909,-109.9124,78.01,53,1,10.36,MX,2021-02-06 20:04
32,Shubarshi,48.5872,57.1869,14.74,95,72,15.79,KZ,2021-02-06 20:08
33,Havre-Saint-Pierre,50.2334,-63.5986,32,93,90,9.22,CA,2021-02-06 20:08
34,Port Alfred,-33.5906,26.891,71.01,93,87,1.99,ZA,2021-02-06 20:08
35,Nanortalik,60.1432,-45.2371,21.79,79,0,4.81,GL,2021-02-06 20:08
36,Cape Town,-33.9258,18.4232,72,78,40,11.5,ZA,2021-02-06 20:04
37,Lebu,-37.6167,-73.65,62.49,79,52,6.62,CL,2021-02-06 20:08
38,Sulangan,11.1373,123.7228,80.17,81,13,15.12,PH,2021-02-06 20:08
